event_name,display_name,description,phase,product_questions,properties,replaces_legacy,dashboard_tags,funnel_roles,pii_risk,notes
app_open,App opened,Process/UI foreground open counted for DAU,A,DAU/WAU/MAU; habit; opens that start play,is_first_open:bool:Y;days_since_install:int:N;cold_start:bool:N;subscription_count_bucket:enum:Y;onboarding_status:string:Y;install_channel:enum:N,,company_health;retention,session_start,none,Pair with person first_seen_at; new in glossary (was implicit)
app_background,App backgrounded,App moved to background,A,Session length; habit,session_duration_seconds:int:N;had_playback:bool:N;subscription_count_bucket:enum:N,,company_health;retention,session_end,none,Derive sessions with app_open
install_attributed,Install attributed,Install/referrer channel resolved,A,Growth WoW; channel mix,install_channel:enum:Y;referrer_raw:string:N;utm_source:string:N;share_token:string:N,,growth;company_health,install,none,$set_once install_channel person prop
deep_link_opened,Deep link opened,Inbound deep/share link handled,A,Share/referrer→open→play; deeplink first-open,link_scheme:string:Y;link_host:string:N;content_type:enum:N;podcast_id:string:N;episode_id:string:N;is_first_open:bool:Y;cold_start:bool:Y,,growth;activation,deeplink_open,none,Keep boxlore+boxcast schemes
onboarding_started,Onboarding started,User entered onboarding,A,Start/complete rates; path mix,entry_point:string:Y;is_reentry:bool:N,onboarding_started,activation;onboarding,activation_start,none,
onboarding_flow_selected,Onboarding flow selected,User chose AI/genre/search/import,A,Path mix × activation,flow_type:string:Y;entry_point:string:Y,onboarding_flow_selected,activation;onboarding,activation_path,none,flow_type: ai_chat|manual_genre|search|import
onboarding_step_viewed,Onboarding step viewed,A discrete onboarding step became visible,A,Abandon step,step_name:string:Y;flow_type:string:Y;step_index:int:N,onboarding_manual_step_completed,activation;onboarding,activation_step,none,Replaces fragmented step completed-as-view misuse where applicable
onboarding_abandoned,Onboarding abandoned,User left before complete,A,Abandon step; activation,last_step:string:Y;flow_type:string:Y;time_spent_seconds:int:N;subscribed_count:int:N,,activation;onboarding,activation_drop,none,Do not fold skip into onboarding_completed
onboarding_completed,Onboarding completed,User finished an onboarding path,A,Activation; path mix; initial subs,method:string:Y;screen:string:N;total_subscribed_count:int:Y;subscribed_podcasts_list:list:N;total_onboarding_time_seconds:float:N;entry_point:string:N;favorite_genres:list:N;did_scroll_suggestions:bool:N;did_switch_from_ai:bool:N;import_type:string:N;searches_performed:int:N,onboarding_completed,activation;onboarding,activation_complete,none,method: ai_suggestions_done|manual_genre_flow|search_done|import|skip_welcome — skip is completion of skip path not abandon
onboarding_ai_turn_submitted,AI chat turn submitted,User sent a message in onboarding AI chat,A,AI path quality; what users say,turn_number:int:Y;user_input_text:string:Y;has_custom_input:bool:Y;selected_options:list:N;time_spent_seconds:float:N,onboarding_ai_turn_submitted,activation;onboarding;ai,ai_turn,logged_by_policy,ALWAYS log raw user_input_text (rename from custom_input_text)
onboarding_ai_response_received,AI response received,Assistant reply returned in onboarding AI,A,AI path quality,turn_number:int:Y;options_count:int:Y;options_list:list:N;duration_seconds:float:N;detected_intent:string:N;assistant_message:string:N,onboarding_ai_response_received,activation;onboarding;ai,,none,assistant_message optional truncated
onboarding_ai_search_redirect,AI search redirect,AI suggested leaving chat for search,A,Search redirect follow-through,turn_number:int:Y;suggested_query:string:N,onboarding_ai_search_redirect,activation;onboarding;ai,,logged_by_policy,suggested_query raw when present
onboarding_ai_synthesis_completed,AI synthesis completed,AI produced podcast suggestions,A,AI path → subscribe,rows_count:int:Y;podcasts_count:int:Y;duration_seconds:float:N,onboarding_ai_synthesis_completed,activation;onboarding;ai,,none,
onboarding_ai_synthesis_failed,AI synthesis failed,AI suggestion generation failed,A,AI path drop,error_message:string:N,onboarding_ai_synthesis_failed,activation;onboarding;ai,,none,No PII in errors
onboarding_search_performed,Onboarding search performed,Search during onboarding,A,Onboarding search→subscribe,search_query:string:Y;results_count:int:Y;query_length:int:N,onboarding_search_performed,activation;onboarding;search,search,logged_by_policy,ALWAYS log raw search_query; also emit unified search_performed in PR7
onboarding_search_podcast_subscribed,Onboarding search subscribe,Subscribed from onboarding search result,A,Search→subscribe,podcast_id:string:Y;podcast_name:string:N;total_subscribed_count:int:Y,onboarding_search_podcast_subscribed,activation;onboarding,,none,IDs preferred
onboarding_import_sheet_opened,Import sheet opened,OPML/import sheet shown,A,OPML path,entry_point:string:N,onboarding_import_sheet_opened,activation;onboarding,,none,
onboarding_import_failed,Import failed,OPML/library import failed,A,OPML parse success,import_type:string:Y;error_message:string:N,onboarding_import_failed,activation;onboarding,,none,
